Location,Total
United_States,61747
Northeast,6794
New_England,1652
Connecticut,481
Maine,276
Massachusetts,476
New_Hampshire,244
Rhode_Island,105
Vermont,70
Middle_Atlantic,5142
New_Jersey,1172
New_York,2087
Pennsylvania,1883
Midwest,12186
East_North_Central,7575
Illinois,1635
Indiana,1244
Michigan,1206
Ohio,2115
Wisconsin,1375
West_North_Central,4611
Iowa,1056
Kansas,672
Minnesota,927
Missouri,835
Nebraska,538
North_Dakota,302
South_Dakota,281
South,28999
South_Atlantic,14332
Delaware,223
District_of_Columbia,30
Florida,3634
Georgia,2158
Maryland,682
North_Carolina,3551
South_Carolina,1600
Virginia,2240
West_Virginia,214
East_South_Central,3850
Alabama,1318
Kentucky,796
Mississippi,543
Tennessee,1193
West_South_Central,10817
Arkansas,765
Louisiana,934
Oklahoma,566
Texas,8552
West,13768
Mountain,6395
Arizona,1271
Colorado,1900
Idaho,384
Montana,182
Nevada,1017
New_Mexico,392
Utah,1015
Wyoming,234
Pacific,7373
Alaska,46
California,3776
Hawaii,179
Oregon,763
Washington,2609
