Location,Total
United_States,126023
Northeast,13812
New_England,4134
Connecticut,811
Maine,422
Massachusetts,1733
New_Hampshire,685
Rhode_Island,297
Vermont,186
Middle_Atlantic,9678
New_Jersey,2422
New_York,3352
Pennsylvania,3904
Midwest,31069
East_North_Central,22302
Illinois,5137
Indiana,3980
Michigan,4945
Ohio,4727
Wisconsin,3513
West_North_Central,8767
Iowa,924
Kansas,1046
Minnesota,2482
Missouri,2211
Nebraska,1410
North_Dakota,297
South_Dakota,397
South,50816
South_Atlantic,31032
Delaware,391
Dist._of_Columbia,0
Florida,9895
Georgia,5605
Maryland,2116
North_Carolina,5669
South_Carolina,2621
Virginia,4276
West_Virginia,459
East_South_Central,8113
Alabama,2249
Kentucky,1569
Mississippi,791
Tennessee,3504
West_South_Central,11671
Arkansas,827
Louisiana,1114
Oklahoma,698
Texas,9032
West,30326
Mountain,14564
Arizona,4439
Colorado,3642
Idaho,719
Montana,336
Nevada,2662
New_Mexico,1041
Utah,1557
Wyoming,168
Pacific,15762
Alaska,173
California,9528
Hawaii,214
Oregon,2417
Washington,3430
