Location,Total
United_States,131908
Northeast,15594
New_England,3333
Connecticut,742
Maine,735
Massachusetts,1097
New_Hampshire,425
Rhode_Island,152
Vermont,182
Middle_Atlantic,12261
New_Jersey,2548
New_York,6179
Pennsylvania,3534
Midwest,21545
East_North_Central,14233
Illinois,4264
Indiana,2543
Michigan,1908
Ohio,3373
Wisconsin,2145
West_North_Central,7312
Iowa,1190
Kansas,914
Minnesota,1822
Missouri,1896
Nebraska,823
North_Dakota,264
South_Dakota,403
South,62116
South_Atlantic,33000
Delaware,486
District_of_Columbia,9
Florida,9910
Georgia,6005
Maryland,1862
North_Carolina,7844
South_Carolina,3224
Virginia,3312
West_Virginia,348
East_South_Central,8024
Alabama,1991
Kentucky,1418
Mississippi,1696
Tennessee,2919
West_South_Central,21092
Arkansas,813
Louisiana,2366
Oklahoma,1257
Texas,16656
West,32653
Mountain,16488
Arizona,5371
Colorado,3928
Idaho,1341
Montana,531
Nevada,1976
New_Mexico,1068
Utah,1985
Wyoming,288
Pacific,16165
Alaska,159
California,9218
Hawaii,977
Oregon,1816
Washington,3995
