Location,Total
United_States,133335
Northeast,14114
New_England,3689
Connecticut,824
Maine,523
Massachusetts,1275
New_Hampshire,629
Rhode_Island,213
Vermont,225
Middle_Atlantic,10425
New_Jersey,2406
New_York,3763
Pennsylvania,4256
Midwest,29124
East_North_Central,19854
Illinois,5008
Indiana,3668
Michigan,3762
Ohio,4183
Wisconsin,3233
West_North_Central,9270
Iowa,1629
Kansas,967
Minnesota,3195
Missouri,1989
Nebraska,654
North_Dakota,341
South_Dakota,495
South,58184
South_Atlantic,35747
Delaware,515
Dist._of_Columbia,92
Florida,11898
Georgia,7141
Maryland,2915
North_Carolina,6194
South_Carolina,2407
Virginia,4217
West_Virginia,368
East_South_Central,6579
Alabama,1726
Kentucky,1497
Mississippi,1032
Tennessee,2324
West_South_Central,15858
Arkansas,1164
Louisiana,1388
Oklahoma,1153
Texas,12153
West,31913
Mountain,14499
Arizona,3997
Colorado,3904
Idaho,1050
Montana,257
Nevada,2704
New_Mexico,812
Utah,1605
Wyoming,170
Pacific,17414
Alaska,245
California,11722
Hawaii,415
Oregon,1886
Washington,3146
