Location,Total
United_States,70025
Northeast,7492
New_England,2453
Connecticut,264
Maine,186
Massachusetts,1733
New_Hampshire,134
Rhode_Island,45
Vermont,91
Middle_Atlantic,5039
New_Jersey,1740
New_York,2353
Pennsylvania,946
Midwest,6714
East_North_Central,3748
Illinois,530
Indiana,681
Michigan,735
Ohio,1031
Wisconsin,771
West_North_Central,2966
Iowa,249
Kansas,345
Minnesota,1108
Missouri,768
Nebraska,235
North_Dakota,110
South_Dakota,151
South,38130
South_Atlantic,19478
Delaware,368
District_of_Columbia,22
Florida,7781
Georgia,2445
Maryland,1220
North_Carolina,3544
South_Carolina,1899
Virginia,2070
West_Virginia,129
East_South_Central,4413
Alabama,1025
Kentucky,717
Mississippi,644
Tennessee,2027
West_South_Central,14239
Arkansas,694
Louisiana,1035
Oklahoma,995
Texas,11515
West,17689
Mountain,5570
Arizona,1712
Colorado,1489
Idaho,442
Montana,136
Nevada,640
New_Mexico,275
Utah,806
Wyoming,70
Pacific,12119
Alaska,54
California,7312
Hawaii,743
Oregon,798
Washington,3212
