State,Division,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10,2010-09,2010-08,2010-07,2010-06,2010-05,2010-04,2010-03,2010-02,2010-01
Indiana,East_North_Central,2049,2772,2522,2401,2087,1466,1529,1552,1857,2355,3006,2207,2108,1950,2848,3592,2806,1965,2301,3200,2232,2207,2578,2317,2544,2957,2357,2640,2421,1579,1584,1843,1834,2719,2475,1861,2518,2286,2183,2064,1664,1187,1304,1475,1890,18728,16833,15050,12828,10522,8424,6713,4678,2817,1528,21200,20167,18628,16554,15289,13216,11254,9575,7064,4639,2295,1008,20115,18654,17221,15511,13987,12165,10657,8280,6000,4210,2727,1124,18317,17117,15680,13824,12114,10247,8594,7043,5312,3708,2134,999,17891,16692,14772,12892,11043,9307,7969,6243,4362,2673,1431,681,18235,16997,15804,14082,11888,10475,8380,6315,4568,3089,1716,960,18029,16666,14816,13168,11526,9842,8315,6517,4760,3197,2001,732,13807,13094,11704,10302,9145,7862,6946,5543,4174,2829,1644,551,12485,11568,10535,9666,8325,6804,5515,4400,3376,2515,1393,626,12988,12036,11177,10147,8993,8042,6726,5615,4267,2883,1511,808
Michigan,East_North_Central,1883,1906,1614,1688,1738,1008,1187,1238,1026,1597,1714,2446,1629,2034,2386,1963,2208,1391,1351,1596,1771,1582,1988,1771,1658,2272,1979,2211,2364,1559,1640,2167,2133,2350,2040,1611,2038,1807,1538,727,1134,1155,1366,1105,1321,19146,16731,14415,11946,10251,8457,6616,4671,2632,1187,20442,19800,18417,15502,13555,11393,10100,8298,6141,4004,2334,1209,24518,22997,21185,18236,15920,13674,11747,8885,6325,4290,2609,1208,22426,20939,19163,20003,17369,15101,12260,9420,6841,4251,2558,1237,22093,20879,18819,16460,13879,11924,9792,7024,4404,2499,1341,735,15656,14778,13802,12217,10348,8803,7059,5430,3540,2310,1453,869,15934,14967,13713,12122,10112,8564,7034,5595,3991,2458,1428,734,11669,11064,9782,8683,7557,6380,5249,4191,2812,1826,1001,450,9187,8569,7764,6950,6054,5064,4250,3281,2465,1664,767,373,9256,8662,7699,6766,6155,4978,4176,3211,2457,1662,952,485
Ohio,East_North_Central,2112,3052,2327,1845,3347,1605,1150,1483,3122,4159,2535,2767,2515,2425,2305,2568,2680,1921,2169,2276,2486,2812,2480,3526,2376,2753,2932,2921,2494,2271,1573,2498,2254,3374,2566,2433,2931,2486,2142,1900,1449,1698,2624,1384,2406,19103,17290,14927,12406,10633,8719,6836,4682,2716,1095,23826,22421,19874,18053,16574,14589,12009,10192,7011,4834,3031,1487,23755,22584,20984,19129,17122,14151,12246,9031,6956,5202,3260,2037,22269,20983,19301,17511,14919,12481,10667,8579,6299,4010,2200,990,19600,18266,16613,14343,11958,9924,8111,6571,4746,3153,1785,1031,20940,19473,17922,16096,14505,11848,9243,7288,5347,3876,1807,920,21310,20005,18845,16575,14619,12189,9932,8377,6218,3922,2875,1677,17416,15882,14032,12397,10869,9249,7651,6288,4632,3105,1781,1081,14253,12930,11850,10044,8846,7378,6184,4872,3845,2721,1429,687,13509,12826,12017,10632,9611,8456,6867,5994,4889,3270,1746,878
Wisconsin,East_North_Central,1743,2064,2007,1327,1474,1101,908,1024,1846,1760,2239,1922,1811,1870,2427,2289,1787,1145,1012,2246,1699,2670,2070,2457,2379,2176,2316,2699,2088,1271,1094,969,1498,2415,2203,2028,2367,1697,1676,1345,1445,916,902,870,1949,14754,12915,11237,9498,7897,6157,4496,2557,1443,726,18174,17527,16410,14797,12921,10787,8994,7161,5155,3200,1663,766,18511,17480,15944,13882,12080,10547,8860,6943,4764,3173,1701,679,18706,17721,16318,14246,12459,10665,9277,6822,4913,3154,1883,966,16563,15715,14013,12600,10807,9506,7655,5877,4013,2610,1532,771,15303,14384,13649,11930,9624,8361,6961,5468,3554,2381,1127,555,13984,12965,11684,10144,8624,7318,5859,4621,3298,1679,1041,496,12082,11714,10510,8635,7432,6069,5227,4294,2888,1898,910,358,11164,10888,10203,8941,7851,6635,5391,4305,3033,1831,1042,527,11834,11304,10442,8360,7489,6534,5617,4447,3320,1821,910,420
Iowa,West_North_Central,817,1115,1327,924,1048,638,355,711,954,1209,1174,1263,842,1481,1257,1580,1083,601,563,716,1244,1557,1319,1023,1116,1359,944,1903,1830,773,494,1115,1065,1181,1344,1217,1484,1417,951,858,979,438,511,506,674,10210,8493,7454,5990,4941,3503,2375,1402,796,425,11595,11202,10438,8993,8238,7039,5685,4484,3205,1861,848,459,13233,12204,10945,9534,8467,7004,6058,4805,3653,2602,1224,416,13806,13038,11592,10412,9097,6996,5835,4649,3667,2309,1158,690,11252,10350,9527,8526,7224,5889,5018,3594,2326,1474,689,249,10416,9914,9162,8104,6613,5781,4783,3705,2870,1383,595,309,10826,10400,9497,7747,6854,5656,4497,3689,2579,1479,766,331,9992,9512,8359,7306,6258,5108,4265,3418,2231,1439,636,272,7526,7056,6483,5810,5165,4203,3653,2904,2203,1105,386,173,7312,6848,6127,5454,4836,4315,3693,2906,2242,1364,544,195
Kansas,West_North_Central,630,750,1132,561,548,349,492,420,460,777,858,704,840,759,739,1025,735,471,1161,855,793,578,819,808,724,639,745,889,764,846,495,824,532,691,947,573,1034,537,593,580,427,523,512,497,464,6344,5452,4985,4054,3468,2984,2181,1314,797,428,8617,8244,7751,6533,5772,4426,3776,3339,2437,1646,856,451,8636,7853,7174,6695,5706,4673,4108,3214,2610,1909,1289,497,8999,8526,8058,6783,6128,5133,4231,3523,3054,1706,823,276,7936,7423,6742,6209,5406,4779,3806,3116,2491,1576,944,345,7769,7370,6433,5434,4143,3676,3298,2654,2153,1606,911,701,7985,7567,6989,6070,5522,4910,4407,3802,3427,1712,1255,595,6048,5698,5204,4554,3937,3424,2931,1954,1491,893,505,209,4969,4712,4477,4135,3442,2929,2235,1650,1256,931,466,318,4523,4314,3934,3628,3223,2843,2431,1811,1360,951,485,246
Minnesota,West_North_Central,2145,2484,2847,2088,1840,1302,1366,1556,1870,2752,2759,2725,2495,3076,3607,3209,3913,2357,1564,2918,2724,4310,3515,3715,2706,3341,3823,2868,3167,2030,2335,2847,2402,2914,2907,3383,2969,3016,2451,2107,2216,1015,1577,2979,2651,24658,20973,19057,15777,13392,11111,7557,5002,2874,1352,26318,25462,23598,20982,18782,14537,11929,9325,6365,4538,2923,1706,22927,21672,19853,17450,15072,13384,11760,9401,7188,5278,2877,1521,24263,21703,19401,16719,14325,11464,9547,7552,5541,3164,1810,754,21873,20574,19081,16243,13840,11410,9324,7000,4763,3452,1832,1108,16560,15277,14549,12674,10703,9068,7272,5428,3422,2353,1162,638,16524,15302,14059,12687,10602,8801,6704,5496,3804,2353,1164,554,15409,13646,12277,10254,8290,6818,5340,4159,3114,2048,1376,586,8249,7473,6755,5931,5060,4295,3493,2547,1841,1058,525,246,9656,9049,8618,7209,6550,5548,4740,3958,2694,1722,678,220
Missouri,West_North_Central,1486,1642,1818,1295,1623,1111,1028,1072,1393,1552,1560,2156,1625,1944,1779,2029,1825,1447,1862,1898,1666,2081,2105,2101,1389,1208,1592,2167,2347,1121,1102,1241,1615,1469,1604,1687,2243,1522,1403,1226,1187,1339,1371,1311,1115,13113,11399,10255,8598,7199,6112,4683,3621,1883,1098,15551,15214,13877,12167,11256,9683,9014,6769,5197,3703,1704,840,17852,16512,15201,12670,11088,9155,8014,6623,4835,3486,2180,1070,19004,17460,15807,14051,12592,10987,9491,7897,5929,3882,1920,1052,17120,15032,13386,11801,10417,8794,7301,5441,4290,3095,1618,768,15311,14319,13250,11779,10176,9058,7812,6045,4496,2865,1678,933,12799,12174,11111,9525,8260,7194,6057,5030,3865,2682,1595,800,11467,10722,9642,7640,6642,5488,4830,3898,2881,2149,1274,543,8300,7844,7221,6603,5935,5142,4377,3308,2600,1746,1078,318,8260,7684,7081,6415,5621,4731,4093,3373,2736,1939,944,417
Nebraska,West_North_Central,641,849,777,606,671,814,429,396,1070,926,744,670,778,739,1069,1572,943,775,828,743,547,1265,1266,638,614,780,1074,988,897,575,478,730,1020,1079,866,657,699,822,565,829,593,568,600,410,665,6639,6026,5117,4321,3931,3170,2262,1625,1064,621,8193,7769,7090,6402,5689,4954,4338,3748,2970,1584,993,313,8919,8226,7427,6856,6127,5312,4209,3538,2518,1918,1081,351,8108,7583,7013,6215,5483,4762,4057,3443,2525,1517,869,399,7838,7209,6520,5714,5084,4369,3096,2322,1736,1162,656,235,7722,7296,6485,5651,5027,4259,3535,2816,2183,1338,708,308,7863,7461,7087,6347,5737,4978,4257,3373,2595,1495,839,393,6535,6070,5296,4741,4073,3547,3073,2348,1680,1235,565,227,5168,4856,4323,3853,3118,2664,2218,1679,1150,649,327,141,5013,4694,4322,3716,3290,2813,2461,1937,1587,970,575,215
North_Dakota,West_North_Central,306,204,450,164,216,253,137,98,163,565,321,285,430,720,340,254,214,61,35,199,253,192,229,286,385,289,496,337,299,69,204,168,248,340,469,330,457,433,240,419,261,47,36,35,200,2301,2140,1580,1235,937,719,431,151,76,45,3323,3211,3100,2758,2093,1692,1389,1085,530,209,80,36,3375,3351,3180,2568,2166,1826,1526,1189,685,271,232,65,3968,3828,3511,3028,2625,2285,1770,1399,1144,676,315,165,5727,6397,5862,5057,4327,3970,2998,2186,1063,670,195,110,13029,11947,11280,9716,8206,7326,5543,3744,2450,1323,586,105,8855,8744,8105,6578,6021,4943,3938,2815,1638,908,443,75,8086,6545,5932,4946,4346,3665,3110,2524,1902,1268,527,128,4643,4411,4064,3539,2933,2297,1866,1385,769,466,185,58,3558,3283,3044,2639,2268,1817,1385,1028,714,293,116,101
