Location,Total
United_States,186704
Northeast,18489
New_England,5566
Connecticut,1000
Maine,974
Massachusetts,1922
New_Hampshire,836
Rhode_Island,387
Vermont,447
Middle_Atlantic,12923
New_Jersey,3129
New_York,4468
Pennsylvania,5326
Midwest,35850
East_North_Central,23685
Illinois,4914
Indiana,4118
Michigan,5239
Ohio,5288
Wisconsin,4126
West_North_Central,12165
Iowa,1856
Kansas,1167
Minnesota,3857
Missouri,2892
Nebraska,1085
North_Dakota,669
South_Dakota,639
South,83682
South_Atlantic,52521
Delaware,591
District_of_Columbia,727
Florida,21360
Georgia,8763
Maryland,2746
North_Carolina,8333
South_Carolina,3544
Virginia,5925
West_Virginia,532
East_South_Central,9533
Alabama,2593
Kentucky,1772
Mississippi,1219
Tennessee,3949
West_South_Central,21628
Arkansas,1836
Louisiana,1847
Oklahoma,1462
Texas,16483
West,48683
Mountain,22493
Arizona,8380
Colorado,4261
Idaho,1411
Montana,419
Nevada,4306
New_Mexico,1300
Utah,2147
Wyoming,269
Pacific,26190
Alaska,422
California,18525
Hawaii,701
Oregon,2455
Washington,4087
