Location,Total
United_States,183559
Northeast,17747
New_England,4234
Connecticut,933
Maine,651
Massachusetts,1444
New_Hampshire,656
Rhode_Island,194
Vermont,356
Middle_Atlantic,13513
New_Jersey,3153
New_York,3826
Pennsylvania,6534
Midwest,31281
East_North_Central,21156
Illinois,5708
Indiana,3597
Michigan,4244
Ohio,4796
Wisconsin,2811
West_North_Central,10125
Iowa,1507
Kansas,1254
Minnesota,2804
Missouri,2914
Nebraska,795
North_Dakota,270
South_Dakota,581
South,87320
South_Atlantic,53297
Delaware,773
District_of_Columbia,38
Florida,19876
Georgia,10084
Maryland,2312
North_Carolina,9659
South_Carolina,3870
Virginia,6111
West_Virginia,574
East_South_Central,12413
Alabama,3361
Kentucky,2312
Mississippi,1358
Tennessee,5382
West_South_Central,21610
Arkansas,1263
Louisiana,1896
Oklahoma,1807
Texas,16644
West,47211
Mountain,21126
Arizona,7796
Colorado,4300
Idaho,1479
Montana,251
Nevada,3673
New_Mexico,1235
Utah,2137
Wyoming,255
Pacific,26085
Alaska,198
California,18719
Hawaii,807
Oregon,2214
Washington,4147
