Location,Total
United_States,190997
Northeast,20650
New_England,5781
Connecticut,1253
Maine,1015
Massachusetts,2056
New_Hampshire,826
Rhode_Island,206
Vermont,425
Middle_Atlantic,14869
New_Jersey,3189
New_York,6631
Pennsylvania,5049
Midwest,34306
East_North_Central,22562
Illinois,5620
Indiana,3739
Michigan,4712
Ohio,4834
Wisconsin,3657
West_North_Central,11744
Iowa,1574
Kansas,1097
Minnesota,4458
Missouri,2705
Nebraska,943
North_Dakota,523
South_Dakota,444
South,83968
South_Atlantic,52890
Delaware,837
District_of_Columbia,14
Florida,22621
Georgia,8110
Maryland,2825
North_Carolina,8050
South_Carolina,3830
Virginia,6033
West_Virginia,570
East_South_Central,9950
Alabama,2807
Kentucky,2215
Mississippi,1044
Tennessee,3884
West_South_Central,21128
Arkansas,1239
Louisiana,1956
Oklahoma,1214
Texas,16719
West,52073
Mountain,23454
Arizona,8038
Colorado,4507
Idaho,1804
Montana,311
Nevada,4511
New_Mexico,1568
Utah,2433
Wyoming,282
Pacific,28619
Alaska,305
California,19813
Hawaii,1024
Oregon,2673
Washington,4804
