Location,Total
United_States,131204
Northeast,9938
New_England,2575
Connecticut,532
Maine,336
Massachusetts,924
New_Hampshire,554
Rhode_Island,130
Vermont,99
Middle_Atlantic,7363
New_Jersey,1865
New_York,2898
Pennsylvania,2600
Midwest,18757
East_North_Central,13404
Illinois,3083
Indiana,2463
Michigan,2844
Ohio,2972
Wisconsin,2042
West_North_Central,5353
Iowa,539
Kansas,716
Minnesota,1672
Missouri,1623
Nebraska,557
North_Dakota,28
South_Dakota,218
South,67602
South_Atlantic,43373
Delaware,645
District_of_Columbia,105
Florida,19452
Georgia,7029
Maryland,1712
North_Carolina,6539
South_Carolina,3096
Virginia,4431
West_Virginia,364
East_South_Central,7961
Alabama,2181
Kentucky,1633
Mississippi,985
Tennessee,3162
West_South_Central,16268
Arkansas,894
Louisiana,1395
Oklahoma,1191
Texas,12788
West,34907
Mountain,15567
Arizona,5467
Colorado,2753
Idaho,923
Montana,169
Nevada,3646
New_Mexico,1134
Utah,1335
Wyoming,140
Pacific,19340
Alaska,99
California,14153
Hawaii,783
Oregon,1567
Washington,2738
