Location,Total
United_States,176475
Northeast,16351
New_England,4919
Connecticut,1078
Maine,694
Massachusetts,1938
New_Hampshire,676
Rhode_Island,267
Vermont,266
Middle_Atlantic,11432
New_Jersey,2931
New_York,5125
Pennsylvania,3376
Midwest,33506
East_North_Central,22544
Illinois,6134
Indiana,3342
Michigan,5225
Ohio,4526
Wisconsin,3317
West_North_Central,10962
Iowa,1328
Kansas,1040
Minnesota,4075
Missouri,2565
Nebraska,1082
North_Dakota,375
South_Dakota,497
South,80460
South_Atlantic,49898
Delaware,804
District_of_Columbia,164
Florida,20028
Georgia,9198
Maryland,2718
North_Carolina,8130
South_Carolina,3439
Virginia,4981
West_Virginia,436
East_South_Central,10062
Alabama,2279
Kentucky,2373
Mississippi,1476
Tennessee,3934
West_South_Central,20500
Arkansas,1555
Louisiana,1940
Oklahoma,1169
Texas,15836
West,46158
Mountain,20012
Arizona,7501
Colorado,3865
Idaho,1516
Montana,427
Nevada,2904
New_Mexico,978
Utah,2549
Wyoming,272
Pacific,26146
Alaska,261
California,18009
Hawaii,755
Oregon,2985
Washington,4136
