Location,Total
United_States,151399
Northeast,16376
New_England,5206
Connecticut,1485
Maine,685
Massachusetts,1973
New_Hampshire,606
Rhode_Island,224
Vermont,233
Middle_Atlantic,11170
New_Jersey,2686
New_York,5506
Pennsylvania,2978
Midwest,27679
East_North_Central,18805
Illinois,4485
Indiana,3079
Michigan,4141
Ohio,4235
Wisconsin,2865
West_North_Central,8874
Iowa,1341
Kansas,895
Minnesota,2945
Missouri,2119
Nebraska,969
North_Dakota,145
South_Dakota,460
South,67677
South_Atlantic,44432
Delaware,612
District_of_Columbia,23
Florida,17477
Georgia,9324
Maryland,2439
North_Carolina,6895
South_Carolina,3342
Virginia,3966
West_Virginia,354
East_South_Central,7322
Alabama,1854
Kentucky,1604
Mississippi,917
Tennessee,2947
West_South_Central,15923
Arkansas,834
Louisiana,1775
Oklahoma,1265
Texas,12049
West,39667
Mountain,16144
Arizona,5721
Colorado,2639
Idaho,1351
Montana,435
Nevada,2664
New_Mexico,1027
Utah,2096
Wyoming,211
Pacific,23523
Alaska,139
California,17433
Hawaii,677
Oregon,1649
Washington,3625
