Location,Total
United_States,127647
Northeast,10601
New_England,3307
Connecticut,718
Maine,406
Massachusetts,1369
New_Hampshire,511
Rhode_Island,141
Vermont,162
Middle_Atlantic,7294
New_Jersey,2285
New_York,2716
Pennsylvania,2293
Midwest,17685
East_North_Central,11828
Illinois,3134
Indiana,2004
Michigan,2515
Ohio,2280
Wisconsin,1895
West_North_Central,5857
Iowa,800
Kansas,634
Minnesota,1458
Missouri,2004
Nebraska,457
North_Dakota,55
South_Dakota,449
South,65209
South_Atlantic,41310
Delaware,548
District_of_Columbia,10
Florida,17131
Georgia,8424
Maryland,1852
North_Carolina,6131
South_Carolina,2508
Virginia,4389
West_Virginia,317
East_South_Central,7541
Alabama,2377
Kentucky,1215
Mississippi,992
Tennessee,2957
West_South_Central,16358
Arkansas,1112
Louisiana,1324
Oklahoma,1033
Texas,12889
West,34152
Mountain,14868
Arizona,5061
Colorado,3039
Idaho,706
Montana,194
Nevada,3184
New_Mexico,1126
Utah,1402
Wyoming,156
Pacific,19284
Alaska,91
California,14027
Hawaii,821
Oregon,1572
Washington,2773
