Location,Total
United_States,152432
Northeast,15449
New_England,4699
Connecticut,899
Maine,625
Massachusetts,2351
New_Hampshire,494
Rhode_Island,160
Vermont,170
Middle_Atlantic,10750
New_Jersey,3131
New_York,4822
Pennsylvania,2797
Midwest,24103
East_North_Central,15380
Illinois,4158
Indiana,3010
Michigan,2845
Ohio,3002
Wisconsin,2365
West_North_Central,8723
Iowa,799
Kansas,1042
Minnesota,3253
Missouri,2372
Nebraska,818
North_Dakota,133
South_Dakota,306
South,70624
South_Atlantic,45748
Delaware,617
District_of_Columbia,109
Florida,18974
Georgia,8259
Maryland,2089
North_Carolina,6887
South_Carolina,4116
Virginia,4370
West_Virginia,327
East_South_Central,8281
Alabama,2538
Kentucky,1361
Mississippi,828
Tennessee,3554
West_South_Central,16595
Arkansas,1401
Louisiana,1551
Oklahoma,1495
Texas,12148
West,42256
Mountain,17528
Arizona,6878
Colorado,3622
Idaho,1324
Montana,352
Nevada,2680
New_Mexico,1019
Utah,1452
Wyoming,201
Pacific,24728
Alaska,213
California,17836
Hawaii,514
Oregon,2197
Washington,3968
