Location,Total
United_States,181654
Northeast,17560
New_England,4971
Connecticut,1116
Maine,720
Massachusetts,1833
New_Hampshire,776
Rhode_Island,187
Vermont,339
Middle_Atlantic,12589
New_Jersey,2882
New_York,5556
Pennsylvania,4151
Midwest,32403
East_North_Central,22147
Illinois,5815
Indiana,3355
Michigan,5256
Ohio,4182
Wisconsin,3539
West_North_Central,10256
Iowa,1308
Kansas,1090
Minnesota,3653
Missouri,2323
Nebraska,827
North_Dakota,385
South_Dakota,670
South,83349
South_Atlantic,54360
Delaware,775
District_of_Columbia,24
Florida,22554
Georgia,10003
Maryland,2144
North_Carolina,8985
South_Carolina,3659
Virginia,5649
West_Virginia,567
East_South_Central,9688
Alabama,2520
Kentucky,1948
Mississippi,1322
Tennessee,3898
West_South_Central,19301
Arkansas,1257
Louisiana,1630
Oklahoma,1176
Texas,15238
West,48342
Mountain,23095
Arizona,9535
Colorado,3938
Idaho,1710
Montana,469
Nevada,3802
New_Mexico,1046
Utah,2198
Wyoming,397
Pacific,25247
Alaska,287
California,16948
Hawaii,653
Oregon,3077
Washington,4282
