Location,Total
United_States,184844
Northeast,18023
New_England,5347
Connecticut,875
Maine,974
Massachusetts,1861
New_Hampshire,1044
Rhode_Island,196
Vermont,397
Middle_Atlantic,12676
New_Jersey,2910
New_York,5508
Pennsylvania,4258
Midwest,33003
East_North_Central,21715
Illinois,5391
Indiana,3523
Michigan,4766
Ohio,4765
Wisconsin,3270
West_North_Central,11288
Iowa,1469
Kansas,1050
Minnesota,4126
Missouri,2441
Nebraska,1130
North_Dakota,497
South_Dakota,575
South,84947
South_Atlantic,52775
Delaware,750
District_of_Columbia,19
Florida,22240
Georgia,9824
Maryland,2065
North_Carolina,8281
South_Carolina,3875
Virginia,5279
West_Virginia,442
East_South_Central,9339
Alabama,2492
Kentucky,2186
Mississippi,1012
Tennessee,3649
West_South_Central,22833
Arkansas,1777
Louisiana,1971
Oklahoma,1236
Texas,17849
West,48871
Mountain,22415
Arizona,7124
Colorado,4345
Idaho,1548
Montana,316
Nevada,5453
New_Mexico,1193
Utah,2140
Wyoming,296
Pacific,26456
Alaska,647
California,18069
Hawaii,648
Oregon,2699
Washington,4393
