Location,Total
United_States,167854
Northeast,15130
New_England,4549
Connecticut,907
Maine,698
Massachusetts,1759
New_Hampshire,780
Rhode_Island,156
Vermont,249
Middle_Atlantic,10581
New_Jersey,2623
New_York,4831
Pennsylvania,3127
Midwest,32774
East_North_Central,22186
Illinois,5529
Indiana,3466
Michigan,5124
Ohio,4395
Wisconsin,3672
West_North_Central,10588
Iowa,1511
Kansas,787
Minnesota,4205
Missouri,2336
Nebraska,935
North_Dakota,320
South_Dakota,494
South,77857
South_Atlantic,50346
Delaware,789
District_of_Columbia,215
Florida,22739
Georgia,8367
Maryland,2683
North_Carolina,6600
South_Carolina,3219
Virginia,5333
West_Virginia,401
East_South_Central,8743
Alabama,1841
Kentucky,1985
Mississippi,1635
Tennessee,3282
West_South_Central,18768
Arkansas,1256
Louisiana,1811
Oklahoma,1149
Texas,14552
West,42093
Mountain,17872
Arizona,7005
Colorado,3286
Idaho,1420
Montana,356
Nevada,2474
New_Mexico,1093
Utah,2005
Wyoming,233
Pacific,24221
Alaska,192
California,16641
Hawaii,692
Oregon,2430
Washington,4266
